City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,zouerate,22.7187,-12.4521,25.08,31,58,3.74,MR,1713783909
198,khandyga,62.6667,135.6,-1.27,95,27,1.06,RU,1713783910
199,dalbandin,28.8947,64.4101,30.43,11,0,2.46,PK,1713783910
200,penzance,50.1186,-5.5371,13.38,82,20,4.63,GB,1713783910
201,chernyshevskiy,63.0128,112.4714,0.2,100,100,0.8,RU,1713783910
202,keflavik,64.0049,-22.5624,8.24,71,40,0.51,IS,1713783642
203,olyokminsk,60.3736,120.4264,1.32,95,92,1.77,RU,1713783915
204,malvan,16.0667,73.4667,30.38,64,12,9.75,IN,1713783918
205,santiago,-33.4569,-70.6483,14.77,67,75,2.06,CL,1713783920
206,bodo,67.28,14.405,4.02,34,0,8.23,NO,1713783923
207,san antonio de pale,-1.4014,5.6325,29.2,74,98,2.14,GQ,1713783924
208,usinsk,65.9939,57.5281,-5.52,71,100,5.36,RU,1713783926
209,tura,25.5198,90.2201,35.85,15,61,4.63,IN,1713783929
210,meadow lake,34.8014,-106.5436,12.84,54,2,3.18,US,1713783936
211,madang,-5.2246,145.7966,26.41,78,94,1.11,PG,1713783940
212,pisco,-13.7,-76.2167,21.12,84,46,1.73,PE,1713783947
213,kopong,-24.4833,25.8833,31.86,19,0,2.71,BW,1713783949
214,masina,-4.3836,15.3914,32.19,62,20,5.14,CD,1713783951
215,nefta,33.8731,7.8777,22.92,17,29,7.04,TN,1713783953
216,beboto,8.2668,16.939,34.33,35,91,4.65,TD,1713783955
217,tukzar,35.9483,66.4213,22.93,21,93,3.2,AF,1713783958
218,tolanaro,-25.0319,46.9987,25.0,69,4,3.13,MG,1713783760
219,beyneu,45.3167,55.2,31.44,15,36,6.13,KZ,1713783963
220,padang,-0.9492,100.3543,30.03,88,88,1.04,ID,1713783672
221,dagupan,17.7061,121.5047,27.87,67,13,4.89,PH,1713783968
222,springbok,-29.6643,17.8865,23.12,36,91,5.46,ZA,1713783971
223,trinidad,-14.8333,-64.9,23.8,92,99,1.56,BO,1713783974
224,mandalgovi,45.7625,106.2708,5.73,28,10,5.25,MN,1713783976
225,ilulissat,69.2167,-51.1,2.01,80,75,1.03,GL,1713783978
226,coquimbo,-29.9533,-71.3436,15.25,85,95,1.26,CL,1713783896
227,ulladulla,-35.35,150.4667,15.0,89,1,2.65,AU,1713783645
228,cerrik,41.0317,19.9758,18.75,40,100,1.84,AL,1713783983
229,saldanha,-33.0117,17.9442,17.76,77,100,4.27,ZA,1713783983
230,noyabrsk,63.1994,75.4507,-11.54,80,100,9.34,RU,1713783984
231,iznik,40.4286,29.7211,22.86,47,77,1.24,TR,1713783984
232,san luis de la loma,17.2706,-100.8939,23.68,59,0,0.98,MX,1713783984
233,alindao,5.0267,21.2088,36.5,36,91,2.51,CF,1713783984
234,pachino,36.7186,15.0907,16.99,67,100,9.02,IT,1713783985
235,erenhot,43.6475,111.9767,10.38,18,87,7.3,CN,1713783985
236,machico,32.7,-16.7667,22.06,75,40,5.14,PT,1713783985
237,margate,51.3813,1.3862,11.28,59,28,0.45,GB,1713783985
238,fuglafjordur,62.244,-6.814,8.26,77,33,2.19,FO,1713783988
239,nishinoomote,30.7333,131.0,19.2,82,100,4.36,JP,1713783819
240,tahe,52.3333,124.7333,9.48,92,100,2.64,CN,1713783993
241,mahibadhoo,3.7833,72.9667,29.45,78,100,5.6,MV,1713783994
242,nuriootpa,-34.4833,139.0,15.21,28,1,1.04,AU,1713783996
243,eduardo castex,-35.915,-64.2945,11.0,95,100,4.97,AR,1713783999
244,catumbela,-12.4314,13.5472,30.72,67,69,3.24,AO,1713784001
245,sitka,57.0531,-135.33,6.94,76,100,2.06,US,1713784004
246,lammi,61.0833,25.0167,-0.06,93,100,5.91,FI,1713784006
247,katsuura,35.1333,140.3,15.9,80,100,6.04,JP,1713784009
248,dolbeau-mistassini,48.8763,-72.212,-10.7,39,64,6.67,CA,1713784013
249,igarka,67.4667,86.5833,-7.21,79,100,2.68,RU,1713784015
250,ancud,-41.8697,-73.8203,7.76,92,100,1.7,CL,1713783775
251,punta arenas,-53.15,-70.9167,5.06,81,75,5.66,CL,1713784021
252,ebon,4.582,168.6964,28.49,83,100,6.34,MH,1713784022
253,tutoia,-2.7619,-42.2744,26.38,89,94,1.79,BR,1713784025
254,siuna,13.7332,-84.7773,21.74,98,44,0.84,NI,1713784028
255,havre,49.5833,0.3333,10.87,62,75,6.17,FR,1713784031
256,port hueneme,34.1478,-119.1951,15.26,95,100,3.09,US,1713784033
